Vardas              Pavarde             Mediana
Vardas781           Pavarde781          4.5                 
Vardas782           Pavarde782          6                   
Vardas783           Pavarde783          6.5                 
Vardas784           Pavarde784          4.5                 
Vardas785           Pavarde785          4                   
Vardas786           Pavarde786          4                   
Vardas787           Pavarde787          5.5                 
Vardas788           Pavarde788          7                   
Vardas789           Pavarde789          4.5                 
Vardas790           Pavarde790          5                   
Vardas791           Pavarde791          5                   
Vardas792           Pavarde792          5.5                 
Vardas793           Pavarde793          4.5                 
Vardas794           Pavarde794          5                   
Vardas795           Pavarde795          4                   
Vardas796           Pavarde796          6                   
Vardas797           Pavarde797          5.5                 
Vardas798           Pavarde798          5.5                 
Vardas799           Pavarde799          4                   
Vardas800           Pavarde800          4                   
Vardas801           Pavarde801          4                   
Vardas802           Pavarde802          3                   
Vardas803           Pavarde803          5                   
Vardas804           Pavarde804          4.5                 
Vardas805           Pavarde805          5.5                 
Vardas806           Pavarde806          6.5                 
Vardas807           Pavarde807          4                   
Vardas808           Pavarde808          5                   
Vardas809           Pavarde809          5.5                 
Vardas810           Pavarde810          4.5                 
Vardas811           Pavarde811          7                   
Vardas812           Pavarde812          6                   
Vardas813           Pavarde813          4                   
Vardas814           Pavarde814          5                   
Vardas815           Pavarde815          3.5                 
Vardas816           Pavarde816          6                   
Vardas817           Pavarde817          6.5                 
Vardas818           Pavarde818          7                   
Vardas819           Pavarde819          6                   
Vardas820           Pavarde820          4.5                 
Vardas821           Pavarde821          6                   
Vardas822           Pavarde822          4.5                 
Vardas823           Pavarde823          3                   
Vardas824           Pavarde824          4.5                 
Vardas825           Pavarde825          7.5                 
Vardas826           Pavarde826          5                   
Vardas827           Pavarde827          4.5                 
Vardas828           Pavarde828          6.5                 
Vardas829           Pavarde829          4                   
Vardas830           Pavarde830          6                   
Vardas831           Pavarde831          8                   
Vardas832           Pavarde832          7                   
Vardas833           Pavarde833          4.5                 
Vardas834           Pavarde834          4.5                 
Vardas835           Pavarde835          8                   
Vardas836           Pavarde836          5                   
Vardas837           Pavarde837          7.5                 
Vardas838           Pavarde838          4.5                 
Vardas839           Pavarde839          3.5                 
Vardas840           Pavarde840          4                   
Vardas841           Pavarde841          5.5                 
Vardas842           Pavarde842          3.5                 
Vardas843           Pavarde843          6.5                 
Vardas844           Pavarde844          5                   
Vardas845           Pavarde845          8                   
Vardas846           Pavarde846          4.5                 
Vardas847           Pavarde847          5.5                 
Vardas848           Pavarde848          5.5                 
Vardas849           Pavarde849          4                   
Vardas850           Pavarde850          7.5                 
Vardas851           Pavarde851          5.5                 
Vardas852           Pavarde852          7                   
Vardas853           Pavarde853          5                   
Vardas854           Pavarde854          5.5                 
Vardas855           Pavarde855          4.5                 
Vardas856           Pavarde856          4                   
Vardas857           Pavarde857          7                   
Vardas858           Pavarde858          6.5                 
Vardas859           Pavarde859          2.5                 
Vardas860           Pavarde860          6                   
Vardas861           Pavarde861          6                   
Vardas862           Pavarde862          4                   
Vardas863           Pavarde863          4                   
Vardas864           Pavarde864          6.5                 
Vardas865           Pavarde865          5                   
Vardas866           Pavarde866          5.5                 
Vardas867           Pavarde867          4.5                 
Vardas868           Pavarde868          5.5                 
Vardas869           Pavarde869          4                   
Vardas870           Pavarde870          5.5                 
Vardas871           Pavarde871          5                   
Vardas872           Pavarde872          5.5                 
Vardas873           Pavarde873          5.5                 
Vardas874           Pavarde874          6                   
Vardas875           Pavarde875          3                   
Vardas876           Pavarde876          6.5                 
Vardas877           Pavarde877          4                   
Vardas878           Pavarde878          3.5                 
Vardas879           Pavarde879          3                   
Vardas880           Pavarde880          4                   
Vardas881           Pavarde881          4.5                 
Vardas882           Pavarde882          3.5                 
Vardas883           Pavarde883          8.5                 
Vardas884           Pavarde884          6                   
Vardas885           Pavarde885          3                   
Vardas886           Pavarde886          6                   
Vardas887           Pavarde887          4.5                 
Vardas888           Pavarde888          6                   
Vardas889           Pavarde889          5.5                 
Vardas890           Pavarde890          5                   
Vardas891           Pavarde891          5                   
Vardas892           Pavarde892          4                   
Vardas893           Pavarde893          4                   
Vardas894           Pavarde894          4                   
Vardas895           Pavarde895          4.5                 
Vardas896           Pavarde896          4                   
Vardas897           Pavarde897          4.5                 
Vardas898           Pavarde898          5                   
Vardas899           Pavarde899          5.5                 
Vardas900           Pavarde900          6                   
Vardas901           Pavarde901          5                   
Vardas902           Pavarde902          5                   
Vardas903           Pavarde903          8                   
Vardas904           Pavarde904          3                   
Vardas905           Pavarde905          8                   
Vardas906           Pavarde906          5.5                 
Vardas907           Pavarde907          4                   
Vardas908           Pavarde908          7                   
Vardas909           Pavarde909          3.5                 
Vardas910           Pavarde910          5.5                 
Vardas911           Pavarde911          4                   
Vardas912           Pavarde912          4.5                 
Vardas913           Pavarde913          3                   
Vardas914           Pavarde914          3                   
Vardas915           Pavarde915          2.5                 
Vardas916           Pavarde916          4.5                 
Vardas917           Pavarde917          6.5                 
Vardas918           Pavarde918          3                   
Vardas919           Pavarde919          5                   
Vardas920           Pavarde920          4.5                 
Vardas921           Pavarde921          3.5                 
Vardas922           Pavarde922          6.5                 
Vardas923           Pavarde923          5                   
Vardas924           Pavarde924          6                   
Vardas925           Pavarde925          5                   
Vardas926           Pavarde926          5                   
Vardas927           Pavarde927          7                   
Vardas928           Pavarde928          5                   
Vardas929           Pavarde929          6                   
Vardas930           Pavarde930          4                   
Vardas931           Pavarde931          5                   
Vardas932           Pavarde932          4.5                 
Vardas933           Pavarde933          5                   
Vardas934           Pavarde934          6                   
Vardas935           Pavarde935          3.5                 
Vardas936           Pavarde936          5                   
Vardas937           Pavarde937          3                   
Vardas938           Pavarde938          4.5                 
Vardas939           Pavarde939          6                   
Vardas940           Pavarde940          5.5                 
Vardas941           Pavarde941          3                   
Vardas942           Pavarde942          6                   
Vardas943           Pavarde943          5                   
Vardas944           Pavarde944          4                   
Vardas945           Pavarde945          5                   
Vardas946           Pavarde946          5                   
Vardas947           Pavarde947          7                   
Vardas948           Pavarde948          6                   
Vardas949           Pavarde949          6                   
Vardas950           Pavarde950          6                   
Vardas951           Pavarde951          9                   
Vardas952           Pavarde952          6                   
Vardas953           Pavarde953          5.5                 
Vardas954           Pavarde954          4.5                 
Vardas955           Pavarde955          4                   
Vardas956           Pavarde956          4.5                 
Vardas957           Pavarde957          3                   
Vardas958           Pavarde958          4.5                 
Vardas959           Pavarde959          4                   
Vardas960           Pavarde960          7                   
Vardas961           Pavarde961          4.5                 
Vardas962           Pavarde962          5.5                 
Vardas963           Pavarde963          4                   
Vardas964           Pavarde964          5.5                 
Vardas965           Pavarde965          4                   
Vardas966           Pavarde966          3.5                 
Vardas967           Pavarde967          5                   
Vardas968           Pavarde968          7.5                 
Vardas969           Pavarde969          6                   
Vardas970           Pavarde970          6                   
Vardas971           Pavarde971          6.5                 
Vardas972           Pavarde972          3                   
Vardas973           Pavarde973          6.5                 
Vardas974           Pavarde974          3.5                 
Vardas975           Pavarde975          7                   
Vardas976           Pavarde976          6.5                 
Vardas977           Pavarde977          4                   
Vardas978           Pavarde978          5.5                 
Vardas979           Pavarde979          7.5                 
Vardas980           Pavarde980          7                   
Vardas981           Pavarde981          4.5                 
Vardas982           Pavarde982          5.5                 
Vardas983           Pavarde983          6.5                 
Vardas984           Pavarde984          4                   
Vardas985           Pavarde985          6                   
Vardas986           Pavarde986          3                   
Vardas987           Pavarde987          7                   
Vardas988           Pavarde988          5                   
Vardas989           Pavarde989          6.5                 
Vardas990           Pavarde990          5                   
Vardas991           Pavarde991          7.5                 
Vardas992           Pavarde992          4.5                 
Vardas993           Pavarde993          7                   
Vardas994           Pavarde994          4                   
Vardas995           Pavarde995          4                   
Vardas996           Pavarde996          4.5                 
Vardas997           Pavarde997          7                   
Vardas998           Pavarde998          6                   
Vardas999           Pavarde999          3.5                 
Vardas1000          Pavarde1000         5                   


